ticker	close_price	day_1	day_5	df_size	skew_1	skew_60	skew_120	cutoff_1	cutoff_60	cutoff_120	created_date	longName	industry	sector	url
LIN	315.8500061035156	316.24321946081363	316.2125016576241	1643.0	0.3687152767518981	-0.7970094175899648	-0.2871648166543034	25.0	7.000000000000001	5.5	20220526.0	Linde plc	Specialty Chemicals	Basic Materials	https://www.linde.com
CCL	12.180000305175781	12.180000305175781	12.180000305175781	1643.0	-0.1648950858361736	-0.6235264103957922	-0.6620423906925961	18.33333333333333	0.0	0.0	20220526.0	Carnival Corporation & plc	Travel Services	Consumer Cyclical	https://www.carnivalcorp.com
CUK	11.369999885559082	11.369999885559082	11.369999885559082	1643.0	-0.166553885926003	-0.7824033611884985	-0.4980835532500465	18.33333333333333	0.0	0.0	20220526.0	Carnival Corporation & plc	Leisure	Consumer Cyclical	https://www.carnivalcorp.com
CUKPF	11.039999961853027	11.046434720913094	11.046434720913094	1643.0	-2.628290493282549	-0.8488454135032736	-0.5043480826742359	10.0	0.0	0.0	20220526.0	Carnival Corporation & plc	Leisure	Consumer Cyclical	https://www.carnivalcorp.com
STE	228.4199981689453	228.48011417719033	228.47270830285044	1643.0	-0.9582006207037984	-0.1023623288817433	-0.3646367165883994	11.666666666666666	1.5	4.0	20220526.0	STERIS plc	Medical Devices	Healthcare	https://www.steris.com
MMM	145.7899932861328	145.7899932861328	145.7899932861328	1643.0	-0.013839367584996	-0.2165726713014964	0.8928528699012562	6.666666666666667	18.5	19.0	20220526.0	3M Company	Conglomerates	Industrials	https://www.3m.com
AXP	160.50999450683594	160.50999450683594	160.50999450683594	1643.0	-0.273379102042506	-0.7725980920620561	-0.3834330840584367	20.0	4.5	0.0	20220526.0	American Express Company	Credit Services	Financial Services	https://www.americanexpress.com
AAPL	140.52000427246094	140.52049684887442	140.52049684887442	1643.0	-0.2366621547444407	-0.2166495843151158	-1.2901843981587824	18.33333333333333	1.0	2.0	20220526.0	Apple Inc.	Consumer Electronics	Technology	https://www.apple.com
BA	122.05999755859375	121.71527723008447	121.93353226476992	1643.0	-0.457068155793882	-2.0875952041458974	-1.6551967413166182	15.0	6.5	0.5	20220526.0	The Boeing Company	Aerospace & Defense	Industrials	https://www.boeing.com
CAT	209.30999755859375	e	r	1643.0	-0.0438441956591923	0.0771883256214724	0.0957259080916331	13.333333333333334	0.0	0.0	20220526.0	Caterpillar Inc.	Farm & Heavy Construction Machinery	Industrials	https://www.caterpillar.com
CVX	175.41000366210938	175.31190293460213	175.4980392515839	1643.0	-0.8221678291868337	-0.6036755265217721	-0.0676483575756894	11.666666666666666	16.0	27.500000000000004	20220526.0	Chevron Corporation	Oil & Gas Integrated	Energy	https://www.chevron.com
CSCO	44.0	43.8602801267285	43.81906965114501	1643.0	-2.5665712481426195	-0.422806262481059	-0.3869284618579541	16.666666666666664	5.0	3.0	20220526.0	Cisco Systems, Inc.	Communication Equipment	Technology	https://www.cisco.com
KO	64.06999969482422	64.09583053645089	64.09695831979232	1643.0	-1.9331417497192875	0.074494948090329	-0.1551291021394958	10.0	2.0	1.0	20220526.0	The Coca-Cola Company	Beverages—Non-Alcoholic	Consumer Defensive	https://www.coca-colacompany.com
DD	65.41000366210938	65.41000366210938	65.41000366210938	1643.0	-0.3702255767361621	0.1236941637211345	-0.3293414024419738	15.0	0.0	0.0	20220526.0	DuPont de Nemours, Inc.	Specialty Chemicals	Basic Materials	https://www.dupont.com
XOM	96.30000305175781	96.30000305175781	96.30000305175781	1643.0	-1.1893775791741397	-0.6736336995594219	-0.0556980016901953	18.33333333333333	5.0	8.5	20220526.0	Exxon Mobil Corporation	Oil & Gas Integrated	Energy	https://corporate.exxonmobil.com
GS-PK	25.68000030517578	25.716985385209878	26.010523383889563	1643.0	0.5573915179978177	-0.0203572275368882	0.3198080497180226	10.0	8.0	22.0	20220526.0	The Goldman Sachs Group, Inc.	Capital Markets	Financial Services	https://www.goldmansachs.com
GS	314.8999938964844	314.8999938964844	314.8999938964844	1643.0	0.0166143137036306	-0.1321242849119051	-0.2286103260939235	10.0	1.0	5.0	20220526.0	The Goldman Sachs Group, Inc.	Capital Markets	Financial Services	https://www.goldmansachs.com
HD	293.57000732421875	293.2251814082913	293.45064372265796	1643.0	-0.524809064852325	-0.3624446453938401	-1.0016813718420523	21.666666666666668	36.0	20.0	20220526.0	The Home Depot, Inc.	Home Improvement Retail	Consumer Cyclical	https://www.homedepot.com
IBM	134.38999938964844	134.89555504498583	134.66498632005838	1643.0	0.6886405812199458	0.07510319276933	-0.1922316529525736	6.666666666666667	0.0	2.5	20220526.0	International Business Machines Corporation	Information Technology Services	Technology	https://www.ibm.com
INTC	42.20000076293945	42.164183502818176	42.21028376996912	1643.0	0.125902012465717	0.1976271121758164	0.4545186106683683	13.333333333333334	0.5	3.5000000000000004	20220526.0	Intel Corporation	Semiconductors	Technology	https://www.intel.com
JNJ	179.6199951171875	179.77361964750716	179.3396580394433	1643.0	0.2741271331335502	-0.677319745360824	0.2103340853473844	8.333333333333332	5.0	0.5	20220526.0	Johnson & Johnson	Drug Manufacturers—General	Healthcare	https://www.jnj.com
JPM	127.23999786376953	127.71040300141587	127.58807232134062	1643.0	0.6169754470350187	-0.3192526938123881	-0.8827056941467769	16.666666666666664	14.499999999999998	16.5	20220526.0	JPMorgan Chase & Co.	Banks—Diversified	Financial Services	https://www.jpmorganchase.com
MCD	244.00999450683594	245.07037614651034	244.3579934410041	1643.0	-0.367370694775468	-1.0266646947692164	-0.5493702120956633	11.666666666666666	7.5	0.5	20220526.0	McDonald's Corporation	Restaurants	Consumer Cyclical	https://corporate.mcdonalds.com
NKE	108.19999694824219	108.19999694824219	108.19999694824219	1643.0	-0.0238651171554662	0.1463818119050191	-0.560378020183395	28.33333333333333	33.0	26.5	20220526.0	NIKE, Inc.	Footwear & Accessories	Consumer Cyclical	https://www.nike.com
MRK	93.75	93.73970947904591	93.30061983791799	1643.0	0.975913095294174	0.2041572733331399	0.3440264093332617	1.6666666666666667	8.5	2.0	20220526.0	Merck & Co., Inc.	Drug Manufacturers—General	Healthcare	https://www.merck.com
MSFT	262.5199890136719	261.96354364633106	262.05300326520944	1643.0	-0.0881789792733528	-0.1562892182974004	-0.8051531762473102	21.666666666666668	33.5	28.000000000000004	20220526.0	Microsoft Corporation	Software—Infrastructure	Technology	https://www.microsoft.com
PFE	53.709999084472656	53.74977003285926	53.545266145668094	1643.0	0.2859487528087888	0.1250529968292026	-0.0134622404012583	16.666666666666664	23.5	36.0	20220526.0	Pfizer Inc.	Drug Manufacturers—General	Healthcare	https://www.pfizer.com
PG	145.2100067138672	145.41046456185052	143.75615069926266	1643.0	-0.9946920071981542	-0.1304270365266092	-0.2655856869096759	13.333333333333334	1.5	0.0	20220526.0	The Procter & Gamble Company	Household & Personal Products	Consumer Defensive	https://www.pginvestor.com
TRV	173.58999633789062	173.73961809095627	173.66397814548858	1643.0	-0.6377271170557106	0.4855526440285909	0.2957872961233141	5.0	0.0	0.0	20220526.0	The Travelers Companies, Inc.	Insurance—Property & Casualty	Financial Services	https://www.travelers.com
